2027,182.548
2026,182.578
2025,182.608
2024,182.632
2023,182.662
2022,182.692
2021,182.723
2020,182.753
2019,182.789
2018,182.819
2017,182.849
2016,182.879
2015,182.904
2014,182.934
2013,182.964
2012,182.994
2011,183.025
2010,183.061
2009,183.091
2008,183.122
2007,183.152
2006,183.177
2005,183.207
2004,183.237
2003,183.268
2002,183.298
2001,183.335
2000,183.366
1999,183.396
1998,183.427
1997,183.451
1996,183.482
1995,183.512
1994,183.543
1993,183.574
1992,183.611
1991,183.641
1990,183.672
1989,183.703
1988,183.727
1987,183.758
1986,183.789
1985,183.82
1984,183.851
1983,183.888
1982,183.919
1981,183.949
1980,183.98
1979,184.005
1978,184.036
1977,184.067
1976,184.098
1975,184.129
1974,184.167
1973,184.198
1972,184.229
1971,184.26
1970,184.285
1969,184.316
1968,184.347
1967,184.378
1966,184.41
1965,184.447
1964,184.478
1963,184.51
1962,184.541
1961,184.566
1960,184.598
1959,184.629
1958,184.66
1957,184.692
1956,184.729
1955,184.761
1954,184.792
1953,184.824
1952,184.855
1951,184.881
1950,184.912
1949,184.944
1948,184.976
1947,185.013
1946,185.045
1945,185.077
1944,185.108
1943,185.14
1942,185.166
1941,185.197
1940,185.229
1939,185.261
1938,185.299
1937,185.331
1936,185.363
1935,185.395
1934,185.427
1933,185.452
1932,185.484
1931,185.516
1930,185.548
1929,185.587
1928,185.619
1927,185.651
1926,185.683
1925,185.715
1924,185.741
1923,185.773
1922,185.805
1921,185.838
1920,185.876
1919,185.908
1918,185.941
1917,185.973
1916,186.005
1915,186.031
1914,186.064
1913,186.096
1912,186.128
1911,186.167
1910,186.2
1909,186.232
1908,186.265
1907,186.297
1906,186.323
1905,186.356
1904,186.389
1903,186.421
1902,186.46
1901,186.493
1900,186.525
1899,186.558
1898,186.591
1897,186.617
1896,186.65
1895,186.683
1894,186.716
1893,186.755
1892,186.788
1891,186.821
1890,186.854
1889,186.887
1888,186.913
1887,186.946
1886,186.979
1885,187.012
1884,187.052
1883,187.085
1882,187.118
1881,187.151
1880,187.184
1879,187.211
1878,187.244
1877,187.277
1876,187.311
1875,187.344
1874,187.383
1873,187.417
1872,187.45
1871,187.484
1870,187.511
1869,187.544
1868,187.577
1867,187.611
1866,187.644
1865,187.684
1864,187.718
1863,187.751
1862,187.785
1861,187.812
1860,187.846
1859,187.879
1858,187.913
1857,187.947
1856,187.987
1855,188.021
1854,188.054
1853,188.088
1852,188.116
1851,188.15
1850,188.183
1849,188.217
1848,188.251
1847,188.291
1846,188.325
1845,188.359
1844,188.393
1843,188.421
1842,188.455
1841,188.489
1840,188.523
1839,188.558
1838,188.598
1837,188.632
1836,188.666
1835,188.701
1834,188.729
1833,188.763
1832,188.797
1831,188.832
1830,188.866
1829,188.907
1828,188.941
1827,188.976
1826,189.01
1825,189.038
1824,189.073
1823,189.107
1822,189.142
1821,189.176
1820,189.217
1819,189.252
1818,189.287
1817,189.321
1816,189.35
1815,189.384
1814,189.419
1813,189.454
1812,189.489
1811,189.53
1810,189.565
1809,189.6
1808,189.635
1807,189.663
1806,189.698
1805,189.733
1804,189.768
1803,189.803
1802,189.845
1801,189.88
1800,189.915
1799,189.95
1798,189.979
1797,190.014
1796,190.049
1795,190.085
1794,190.12
1793,190.162
1792,190.197
1791,190.232
1790,190.268
1789,190.303
1788,190.332
1787,190.368
1786,190.403
1785,190.439
1784,190.481
1783,190.516
1782,190.552
1781,190.587
1780,190.623
1779,190.652
1778,190.688
1777,190.724
1776,190.76
1775,190.802
1774,190.838
1773,190.873
1772,190.909
1771,190.945
1770,190.975
1769,191.011
1768,191.047
1767,191.083
1766,191.125
1765,191.161
1764,191.197
1763,191.233
1762,191.27
1761,191.299
1760,191.336
1759,191.372
1758,191.408
1757,191.451
1756,191.487
1755,191.523
1754,191.56
1753,191.596
1752,191.626
1751,191.663
1750,191.699
1749,191.736
1748,191.778
1747,191.815
1746,191.852
1745,191.888
1744,191.925
1743,191.955
1742,191.992
1741,192.029
1740,192.065
1739,192.108
1738,192.145
1737,192.182
1736,192.219
1735,192.256
1734,192.286
1733,192.323
1732,192.36
1731,192.397
1730,192.441
1729,192.478
1728,192.515
1727,192.552
1726,192.589
1725,192.62
1724,192.657
1723,192.694
1722,192.732
1721,192.775
1720,192.813
1719,192.85
1718,192.887
1717,192.925
1716,192.956
1715,192.993
1714,193.031
1713,193.068
1712,193.106
1711,193.15
1710,193.188
1709,193.225
1708,193.263
1707,193.294
1706,193.332
1705,193.37
1704,193.407
1703,193.445
1702,193.489
1701,193.527
1700,193.565
1699,193.603
1698,193.635
1697,193.673
1696,193.711
1695,193.749
1694,193.787
1693,193.831
1692,193.87
1691,193.908
1690,193.946
